,0
0,0.6248180265299236
1,0.5740003738384777
2,0.22273325318209153
3,0.0807745428691427
4,0.00980826299005428
5,0.1445809433422915
6,0.2203450372668378
7,0.4872564152909594
8,0.22782651899682851
9,0.39366454681597796
10,0.29756236517893764
11,0.18386692408211502
12,0.43585558703876065
13,0.4404388216474018
14,0.3282458698851851
15,0.03879822328381232
16,0.030226054492661674
17,0.40117701044624954
18,0.508752289171137
19,0.5223943980838542
20,0.33656959387902946
21,0.2078456916856565
22,0.43840032679810326
23,0.40727294290185045
24,0.23328073125588739
25,0.312700569532711
26,0.5094660053102019
27,0.18118209128849608
28,0.09889766222551714
29,0.08080777675483723
30,0.3970244902092182
31,0.3763504732698523
32,0.6523184932205286
33,0.3920399896219029
34,0.3171770524358451
35,0.41285683196261685
36,0.33679316639007245
37,0.4480841423372801
38,0.3969626806675542
39,0.6040178476250574
40,0.2154673959345019
41,0.37832848300444155
42,0.20828963882058996
43,0.2012512885425669
44,0.7607294749434652
45,0.5056740704012215
46,0.40774896631610835
47,0.7670536585799727
48,0.18101923407615614
49,0.3099212206004071
50,0.37919146718472624
51,0.2560900330307383
52,0.40758135875477347
53,0.38943240795361167
54,0.5193710823644513
55,0.038396056066725706
56,0.6029301277563597
57,0.5051203495524257
58,0.544315061904722
59,0.0782940498148426
60,0.47340734427953074
61,0.029848905115621528
62,0.20089194614273484
63,0.5349436967919963
64,0.6445640866051455
65,0.3044916949206438
66,0.1288212511015262
67,0.13120307405834333
68,0.2470623190905557
69,0.22098538194659395
70,0.44517152512014396
71,0.31073601143020835
72,0.5052309626577245
73,0.060413449497861677
74,0.23665686404248504
75,0.5300330893192341
76,0.5254541171957141
77,0.3127966574568874
78,0.46150266848884924
79,0.4206054634264536
80,0.5157326652730153
81,0.4198044340915902
82,0.31023685636929316
83,0.32353732764551246
84,0.16280739129431906
85,0.23633470791192585
86,0.6932407149425148
87,0.18241507096513293
88,0.5360050018465775
89,0.48756562256246777
90,0.26178197603420805
91,0.2553735258952651
92,0.6815213001639846
93,0.6392628270725094
94,0.14773895184124874
95,0.34622365282011697
96,0.37863495694852695
97,0.3625550952231564
98,0.21768309425118879
99,0.22956140824124446
100,0.37849504425302144
101,0.24226883482542727
102,0.5606854715076245
103,0.2224291111728675
104,0.3671768499049046
105,0.36266216885405894
106,0.7687429034016127
107,0.35104711348788403
108,0.42381005269477207
109,0.207461326457
110,0.4749635840099072
111,0.03742598424669354
112,0.05231448430404695
113,0.210612854551322
114,0.27759299061979825
115,0.2742884794822181
116,0.12020893892142655
117,0.42278264045225705
118,0.31509713106388093
119,0.09831023919204082
120,0.43503892650031534
121,0.6447017146092977
122,0.0381351915941617
123,0.36942369968428135
124,0.19765517624429438
125,0.48175696583178435
126,0.2199766694233688
127,0.4455794179321705
128,0.39029820635791784
129,0.37734179909990534
130,0.1522899609594724
131,0.40446865291986533
132,0.6104738313221136
133,0.46010571100895903
134,0.2254693206493952
135,0.36970646028358567
136,0.31303474335272163
137,0.4000002518808558
138,0.37763574672127304
139,0.36972478466768416
140,0.6047696108337699
141,0.02946347285220338
142,0.16804043557813103
143,0.14334782016082154
144,0.1227967040946118
145,0.33124081100453745
146,0.14955885562228746
147,0.49874650197744774
148,0.3873931062560606
149,0.479617866208773
150,0.3033695107196764
151,0.5195791240946097
152,0.48223251367080844
153,0.6604311959859674
154,0.07137483962542088
155,0.15558943706463596
156,0.6011107021475307
157,0.12466809155994704
158,0.2891760362952319
159,0.3833586612703906
160,0.3176801053987433
161,0.09935146672523451
162,0.19471015643678405
163,0.18789910891306003
164,0.6931818821132458
165,0.5740027513631744
166,0.15544122936856797
167,0.0882306545119136
168,0.3018405198781938
169,0.43747886508803796
170,0.4633503345617561
171,0.035723463796869304
172,0.33600989903428025
173,0.5522374209745283
174,0.6371779104193555
175,0.5243366535154048
176,0.29264009674542246
177,0.6142428499224456
178,0.339824445791702
179,0.3308451042110716
180,0.5686778393651127
181,0.316424093962126
182,0.5083400408542125
183,0.35143458237038305
184,0.23592305544858183
185,0.14640544805387182
186,0.007342326719960791
187,0.6121045648447686
188,0.3009470493656909
189,0.6451100424367399
190,0.625142714061082
191,0.41792233788514166
192,0.3742172314006726
193,0.4939150727929236
194,0.2444924793525539
195,0.45490701293461144
196,0.21736005016123017
