Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Ovary	1444	5	0.0443409067433656	1	ENSG00000148660:ENSG00000110092:ENSG00000073756:ENSG00000101333:ENSG00000151067
DEG.down	Pancreas	8739	15	0.163574484179904	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Pituitary	1762	7	0.00809785664137434	0.24293569924123	ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000106617
DEG.down	Prostate	700	1	0.626660151107239	1	ENSG00000070808
DEG.down	Salivary_Gland	1674	11	5.29519984621876e-06	0.000158855995386563	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418:ENSG00000198626
DEG.down	Skin	1792	7	0.00886706628100394	0.266011988430118	ENSG00000166501:ENSG00000148660:ENSG00000150995:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418
DEG.down	Small_Intestine	1259	3	0.249668826757785	1	ENSG00000110092:ENSG00000198626:ENSG00000067191
DEG.down	Spleen	1936	7	0.01334688460624	0.400406538187201	ENSG00000145349:ENSG00000073756:ENSG00000101333:ENSG00000173175:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Stomach	2301	3	0.631563544789838	1	ENSG00000169032:ENSG00000070808:ENSG00000067191
DEG.down	Testis	2631	12	6.99243970716507e-05	0.00209773191214952	ENSG00000169032:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000151067:ENSG00000169418
DEG.down	Thyroid	980	4	0.0434109699118176	1	ENSG00000154229:ENSG00000166501:ENSG00000151067:ENSG00000173175
DEG.down	Uterus	791	3	0.0935050861887418	1	ENSG00000166501:ENSG00000073756:ENSG00000198626
DEG.down	Vagina	600	3	0.0483612855041751	1	ENSG00000166501:ENSG00000070808:ENSG00000198626
DEG.twoside	Adipose_Tissue	2941	9	0.0131969639749117	0.395908919247351	ENSG00000154229:ENSG00000166501:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000151067:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Adrenal_Gland	4221	13	0.00169015866806673	0.050704760042002	ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000123104:ENSG00000101333:ENSG00000151067:ENSG00000157388:ENSG00000173175:ENSG00000106617:ENSG00000067191
DEG.twoside	Bladder	833	7	9.80269925013704e-05	0.00294080977504111	ENSG00000148660:ENSG00000197122:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000106617
DEG.twoside	Blood	7082	12	0.236705157764932	1	ENSG00000137764:ENSG00000154229:ENSG00000166501:ENSG00000145349:ENSG00000197122:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000106617:ENSG00000169418:ENSG00000067191
DEG.twoside	Blood_Vessel	3640	17	2.77344172657604e-07	8.32032517972813e-06	ENSG00000154229:ENSG00000166501:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Brain	7360	14	0.0872377387742029	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000123104:ENSG00000073756:ENSG00000151067:ENSG00000182389:ENSG00000169418:ENSG00000157542:ENSG00000067191
DEG.twoside	Breast	2359	7	0.035977221001364	1	ENSG00000154229:ENSG00000166501:ENSG00000134318:ENSG00000151067:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Cervix_Uteri	2575	1	0.978361992187344	1	ENSG00000197122
DEG.twoside	Colon	2366	8	0.0115145043209309	0.345435129627927	ENSG00000154229:ENSG00000070808:ENSG00000148660:ENSG00000197122:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000067191
DEG.twoside	Esophagus	2494	7	0.0468236753026354	1	ENSG00000166501:ENSG00000070808:ENSG00000150995:ENSG00000151067:ENSG00000182389:ENSG00000173175:ENSG00000067191
DEG.twoside	Fallopian_Tube	457	1	0.472085251599219	1	ENSG00000169418
DEG.twoside	Heart	8783	15	0.169701054897481	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000070808:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000173175:ENSG00000106617:ENSG00000198626:ENSG00000067191
DEG.twoside	Kidney	5926	14	0.0136241081594693	0.40872324478408	ENSG00000169032:ENSG00000137764:ENSG00000166501:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000067191
DEG.twoside	Liver	8356	11	0.657570472610175	1	ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000169418
DEG.twoside	Lung	3891	7	0.27961867566666	1	ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000073756:ENSG00000157388:ENSG00000173175:ENSG00000169418
DEG.twoside	Muscle	7033	13	0.125772365073972	1	ENSG00000154229:ENSG00000070808:ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000067191
DEG.twoside	Nerve	4977	10	0.120448995560268	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000067900:ENSG00000110092:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000157388:ENSG00000173175
DEG.twoside	Ovary	5141	10	0.142880064706736	1	ENSG00000137764:ENSG00000154229:ENSG00000148660:ENSG00000197122:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000169418
DEG.twoside	Pancreas	9289	15	0.25024812129679	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Pituitary	5035	10	0.128116178940969	1	ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000101333:ENSG00000157388:ENSG00000106617:ENSG00000157542
DEG.twoside	Prostate	2735	6	0.164658061674459	1	ENSG00000070808:ENSG00000197122:ENSG00000110092:ENSG00000073756:ENSG00000157388:ENSG00000173175
DEG.twoside	Salivary_Gland	2966	13	4.32544847763065e-05	0.00129763454328919	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000123104:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000169418:ENSG00000198626
DEG.twoside	Skin	4373	9	0.12585193324899	1	ENSG00000166501:ENSG00000148660:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418
DEG.twoside	Small_Intestine	3142	5	0.441935642169277	1	ENSG00000166501:ENSG00000197122:ENSG00000110092:ENSG00000198626:ENSG00000067191
DEG.twoside	Spleen	4638	9	0.166319352730597	1	ENSG00000166501:ENSG00000145349:ENSG00000073756:ENSG00000101333:ENSG00000157388:ENSG00000173175:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Stomach	3087	5	0.425739284182085	1	ENSG00000169032:ENSG00000070808:ENSG00000197122:ENSG00000073756:ENSG00000067191
DEG.twoside	Testis	8608	15	0.146181603190696	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000151067:ENSG00000182389:ENSG00000169418
DEG.twoside	Thyroid	4735	8	0.319202883375656	1	ENSG00000154229:ENSG00000166501:ENSG00000150995:ENSG00000101333:ENSG00000151067:ENSG00000157388:ENSG00000173175:ENSG00000169418
DEG.twoside	Uterus	4817	11	0.0450278026972406	1	ENSG00000154229:ENSG00000166501:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000151067:ENSG00000169418:ENSG00000198626
DEG.twoside	Vagina	2626	4	0.499789010826684	1	ENSG00000166501:ENSG00000070808:ENSG00000197122:ENSG00000198626
