Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.852169372378918	-0.198725744150805	0.0888728545600863	0.952957054825823	
DFC	0.483799884451056	-0.770853786861496	0.344736293627088	0.7037089228379	
VFC	0.532089866294374	-0.683042788459653	0.305466021307359	0.709453155059166	
OFC	0.949068393081916	-0.0679741619843361	0.0303989693821115	0.952957054825823	
S1C	0.365238802515292	-1.02038340152065	0.456329329782527	0.584382084024468	
IPC	0.180282592345051	-1.62124496410318	0.725042789582783	0.480753579586804	
A1C	0.317190238723885	-1.14195125759367	0.510696127794166	0.563893757731351	
STC	0.130564299858036	-1.89783656444785	0.84873831365801	0.417805759545716	
ITC	0.119739434190934	-1.97313061143243	0.882410835129729	0.417805759545716	
V1C	0.952957054825823	0.0627754116309648	0.0280740175444736	0.952957054825823	
MFC	0.687001333490854	-0.433506954722214	0.193870203895559	0.845540102757974	
HIP	0.300689197277186	1.18760947067557	0.531115101430625	0.563893757731351	
STR	0.101675705265461	2.11708186413015	0.946787792425396	0.417805759545716	
AMY	0.248490459546665	1.34952472205838	0.603525803167811	0.563893757731351	
MD	0.0264515347205994	-3.43346456439139	1.53549203286317	0.416494736602219	
CBC	0.0520618420752774	2.73707911351478	1.22405899152278	0.416494736602219	
