Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.635943525371176	0.511499370207664	0.228749472446534	0.666114578994437	
DFC	0.097330056897017	2.15594876004151	0.964169596691838	0.159450765586376	
VFC	0.0677757885889637	2.4859759348622	1.1117622361561	0.135551577177927	
OFC	0.0996567284914852	2.13490526706468	0.954758660535792	0.159450765586376	
S1C	0.581324332871423	0.599201104053862	0.267970880171472	0.664370666138769	
IPC	0.0512542556798946	2.7522794038281	1.23085676800645	0.135551577177927	
A1C	0.142117829683482	1.82458745939616	0.815980318020692	0.189490439577976	
STC	0.00469353735200515	5.69605230972094	2.54735203358614	0.0375482988160412	*
ITC	0.0485296768887934	2.8056843511234	1.25474018650386	0.135551577177927	
V1C	0.109951956061581	2.04790193682321	0.915849588398034	0.159930117907754	
MFC	0.503256902387105	0.73472341544672	0.328578300319937	0.619393110630284	
HIP	0.0245348534457608	-3.51616493375226	1.57247676239422	0.130852551710725	
STR	0.0631990424142024	-2.55158591260929	1.14110391020504	0.135551577177927	
AMY	0.666114578994437	0.465004029528665	0.207956123967483	0.666114578994437	
MD	0.0434167603126517	-2.91599940632246	1.30407457897721	0.135551577177927	
CBC	0.000626347786961072	-9.72365273121804	4.34854969932101	0.0100215645913772	*
