Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.183490168986	-1.60626496569459	0.718343530633892	0.419406100539429	
DFC	0.427855150955432	-0.881451009569947	0.394196875246844	0.570473534607243	
VFC	0.413736444345492	-0.911198634723442	0.407500417649323	0.570473534607243	
OFC	0.987741939275291	-0.0163449906330589	0.0073097020294234	0.987741939275291	
S1C	0.175901629849471	-1.6421587510756	0.734395719450242	0.419406100539429	
IPC	0.0867427073511383	-2.25935102039437	1.01041249332707	0.277576663523643	
A1C	0.0588850960673007	-2.61861157756448	1.17107869882043	0.246429689312577	
STC	0.0585075335303377	-2.62474453012687	1.17382143858689	0.246429689312577	
ITC	0.0616074223281442	-2.57568652535166	1.15188203188331	0.246429689312577	
V1C	0.258947051619869	-1.31461660570594	0.587914418941706	0.500961585687965	
MFC	0.708324111713537	0.401873257125547	0.179723184254395	0.809513270529756	
HIP	0.337564451568466	1.08850244542022	0.486793092326871	0.540103122509546	
STR	0.650110152471868	0.489512525866744	0.218916656735133	0.800135572273068	
AMY	0.28179089194948	1.24287925717298	0.555832501372647	0.500961585687965	
MD	0.941704641176514	0.0778251909972705	0.0348044834863603	0.987741939275291	
CBC	0.053342761965644	2.71352046886805	1.21352324534521	0.246429689312577	
