Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.676613443228458	-0.449105538586018	0.200846102669998	0.872217918231343	
DFC	0.820288676490373	-0.242542408329788	0.108468262490384	0.872217918231343	
VFC	0.414321541703213	-0.909949260664674	0.406941680584377	0.602649515204673	
OFC	0.0631501022051296	-2.55231657196982	1.14143067100475	0.144343090754582	
S1C	0.872217918231343	0.171417436411262	0.0766602080688658	0.872217918231343	
IPC	0.0208425360876069	-3.69961034383972	1.6545160438174	0.0666961154803422	
A1C	0.271515899547786	-1.27442625954463	0.569940749730518	0.434425439276457	
STC	0.0366750721166605	-3.08716860761872	1.38062377292777	0.0978001923110948	
ITC	0.00622638732652926	-5.26662759716412	2.35530746388707	0.049811098612234	*
V1C	0.0190512120153693	-3.80319635133887	1.70084111467458	0.0666961154803422	
MFC	0.781844011367863	0.296164924118733	0.132448980576111	0.872217918231343	
HIP	0.0999300604162931	2.13246898827582	0.953669123538986	0.199860120832586	
STR	0.74255436979821	0.352065940185569	0.157448674963462	0.872217918231343	
AMY	0.231462136514051	1.40958748669474	0.630386688096504	0.411488242691646	
MD	0.00107255290694961	-8.45410781921457	3.78079195457525	0.0171608465111938	*
CBC	0.0141353506009066	-4.16085827049205	1.86079238751249	0.0666961154803422	
