Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Nerve_Tibial	4189	5	0.717973492649312	1	ENSG00000154229:ENSG00000067900:ENSG00000110092:ENSG00000101333:ENSG00000157388
DEG.up	Ovary	3697	5	0.59865798609633	1	ENSG00000137764:ENSG00000154229:ENSG00000197122:ENSG00000150995:ENSG00000169418
DEG.up	Pancreas	550	0	1	1	
DEG.up	Pituitary	3273	3	0.855102678790151	1	ENSG00000101333:ENSG00000157388:ENSG00000157542
DEG.up	Prostate	2035	5	0.141667633862012	1	ENSG00000197122:ENSG00000110092:ENSG00000073756:ENSG00000157388:ENSG00000173175
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2054	2	0.792744865803549	1	ENSG00000110092:ENSG00000123104
DEG.up	Skin_Sun_Exposed_Lower_leg	2183	2	0.821370585403851	1	ENSG00000110092:ENSG00000123104
DEG.up	Small_Intestine_Terminal_Ileum	1883	2	0.749036179990296	1	ENSG00000166501:ENSG00000197122
DEG.up	Spleen	2702	2	0.905068298546273	1	ENSG00000166501:ENSG00000157388
DEG.up	Stomach	786	2	0.295782685061172	1	ENSG00000197122:ENSG00000073756
DEG.up	Testis	5977	3	0.996127816785213	1	ENSG00000137764:ENSG00000197122:ENSG00000182389
DEG.up	Thyroid	3755	4	0.791858576857927	1	ENSG00000150995:ENSG00000101333:ENSG00000157388:ENSG00000169418
DEG.up	Uterus	4026	8	0.172347046615696	1	ENSG00000154229:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000151067:ENSG00000169418
DEG.up	Vagina	2026	1	0.948454337693389	1	ENSG00000197122
DEG.up	Whole_Blood	1322	2	0.553418894902011	1	ENSG00000166501:ENSG00000073756
DEG.down	Adipose_Subcutaneous	1320	4	0.104451385637079	1	ENSG00000154229:ENSG00000166501:ENSG00000198626:ENSG00000067191
DEG.down	Adipose_Visceral_Omentum	1410	7	0.00234206239550858	0.126471369357463	ENSG00000154229:ENSG00000166501:ENSG00000148660:ENSG00000197122:ENSG00000150995:ENSG00000151067:ENSG00000067191
DEG.down	Adrenal_Gland	3012	9	0.0153509176880837	0.82894955515652	ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000067191
DEG.down	Artery_Aorta	1334	2	0.558478200195425	1	ENSG00000154229:ENSG00000166501
DEG.down	Artery_Coronary	868	2	0.338098590208846	1	ENSG00000154229:ENSG00000166501
DEG.down	Artery_Tibial	1761	1	0.922450922089637	1	ENSG00000166501
DEG.down	Bladder	104	0	1	1	
DEG.down	Brain_Amygdala	7055	12	0.231926413590865	1	ENSG00000137764:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000106617:ENSG00000169418:ENSG00000198626
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6065	6	0.890691002703697	1	ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000073756:ENSG00000101333
DEG.down	Brain_Caudate_basal_ganglia	6231	8	0.670697360081212	1	ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000073756:ENSG00000101333:ENSG00000151067
DEG.down	Brain_Cerebellar_Hemisphere	2411	4	0.43023956266388	1	ENSG00000197122:ENSG00000110092:ENSG00000123104:ENSG00000173175
DEG.down	Brain_Cerebellum	2513	5	0.259893948614288	1	ENSG00000197122:ENSG00000110092:ENSG00000123104:ENSG00000173175:ENSG00000169418
DEG.down	Brain_Cortex	5008	6	0.728203325369597	1	ENSG00000197122:ENSG00000067900:ENSG00000110092:ENSG00000073756:ENSG00000101333:ENSG00000169418
DEG.down	Brain_Frontal_Cortex_BA9	4483	3	0.965861826629647	1	ENSG00000067900:ENSG00000110092:ENSG00000101333
DEG.down	Brain_Hippocampus	6868	10	0.48875792819412	1	ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000073756:ENSG00000101333:ENSG00000151067
DEG.down	Brain_Hypothalamus	5355	10	0.175604015053832	1	ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000073756:ENSG00000151067:ENSG00000169418:ENSG00000198626
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	5859	7	0.745671408123712	1	ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000101333:ENSG00000151067
DEG.down	Brain_Putamen_basal_ganglia	7145	9	0.706466354188513	1	ENSG00000137764:ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000123104:ENSG00000101333:ENSG00000151067
DEG.down	Brain_Spinal_cord_cervical_c-1	4587	11	0.0322091305032878	1	ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000101333:ENSG00000151067:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Brain_Substantia_nigra	6536	14	0.032970592304617	1	ENSG00000137764:ENSG00000145349:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000123104:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Breast_Mammary_Tissue	918	5	0.00750905711106508	0.405489083997514	ENSG00000154229:ENSG00000166501:ENSG00000151067:ENSG00000198626:ENSG00000067191
