Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Uterus	788	1	0.714808627346932	1	ENSG00000183049
DEG.down	Vagina	598	0	1	1	
DEG.twoside	Adipose_Tissue	2914	4	0.686206825711692	1	ENSG00000132356:ENSG00000162409:ENSG00000142875:ENSG00000127955
DEG.twoside	Adrenal_Gland	4198	7	0.489399819611	1	ENSG00000174775:ENSG00000133703:ENSG00000120910:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000142875
DEG.twoside	Bladder	831	0	1	1	
DEG.twoside	Blood	7030	9	0.827144845525867	1	ENSG00000138814:ENSG00000107758:ENSG00000101335:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000132356:ENSG00000134072:ENSG00000142875
DEG.twoside	Blood_Vessel	3624	6	0.506814271702283	1	ENSG00000129007:ENSG00000107758:ENSG00000156052:ENSG00000120910:ENSG00000132356:ENSG00000142875
DEG.twoside	Brain	7298	11	0.624428066010145	1	ENSG00000129007:ENSG00000138814:ENSG00000101335:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875:ENSG00000181929
DEG.twoside	Breast	2340	4	0.502883922300412	1	ENSG00000132356:ENSG00000162409:ENSG00000183049:ENSG00000142875
DEG.twoside	Cervix_Uteri	2558	0	1	1	
DEG.twoside	Colon	2352	1	0.980251241334519	1	ENSG00000129007
DEG.twoside	Esophagus	2473	4	0.549063280704096	1	ENSG00000129007:ENSG00000138814:ENSG00000133703:ENSG00000162409
DEG.twoside	Fallopian_Tube	452	0	1	1	
DEG.twoside	Heart	8709	15	0.359237754642991	1	ENSG00000129007:ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000132356:ENSG00000162409:ENSG00000183049:ENSG00000134072:ENSG00000142875:ENSG00000127955:ENSG00000100030
DEG.twoside	Kidney	5895	13	0.0921358263168082	1	ENSG00000129007:ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000186298:ENSG00000156052:ENSG00000133703:ENSG00000120910:ENSG00000132356:ENSG00000183049:ENSG00000072062:ENSG00000142875:ENSG00000100030
DEG.twoside	Liver	8286	15	0.270157186390233	1	ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000213639:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000183049:ENSG00000142875:ENSG00000127955:ENSG00000181929:ENSG00000100030
DEG.twoside	Lung	3849	5	0.745678843468868	1	ENSG00000156052:ENSG00000213281:ENSG00000162409:ENSG00000152495:ENSG00000142875
DEG.twoside	Muscle	6972	13	0.258084493637094	1	ENSG00000169885:ENSG00000129007:ENSG00000107758:ENSG00000156052:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000134072:ENSG00000142875:ENSG00000127955:ENSG00000100030
DEG.twoside	Nerve	4941	8	0.518682119531101	1	ENSG00000129007:ENSG00000156052:ENSG00000133703:ENSG00000120910:ENSG00000132356:ENSG00000008118:ENSG00000142875:ENSG00000127955
DEG.twoside	Ovary	5103	3	0.993745299153282	1	ENSG00000162409:ENSG00000183049:ENSG00000008118
DEG.twoside	Pancreas	9220	20	0.024290242786536	0.72870728359608	ENSG00000129007:ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000101335:ENSG00000213639:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000134072:ENSG00000072062:ENSG00000142875:ENSG00000127955:ENSG00000181929:ENSG00000100030
DEG.twoside	Pituitary	5005	8	0.5355734558174	1	ENSG00000138814:ENSG00000213281:ENSG00000132356:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000142875:ENSG00000127955
DEG.twoside	Prostate	2717	3	0.816799154632186	1	ENSG00000169885:ENSG00000138814:ENSG00000127955
DEG.twoside	Salivary_Gland	2951	3	0.860541008991132	1	ENSG00000183049:ENSG00000134072:ENSG00000127955
DEG.twoside	Skin	4343	6	0.700833698624807	1	ENSG00000156052:ENSG00000213281:ENSG00000162409:ENSG00000134072:ENSG00000142875:ENSG00000127955
DEG.twoside	Small_Intestine	3112	3	0.885336639234045	1	ENSG00000129007:ENSG00000162409:ENSG00000127955
DEG.twoside	Spleen	4596	6	0.757041666233976	1	ENSG00000129007:ENSG00000138814:ENSG00000156052:ENSG00000162409:ENSG00000008118:ENSG00000127955
DEG.twoside	Stomach	3070	4	0.727745173098521	1	ENSG00000138814:ENSG00000221823:ENSG00000120910:ENSG00000183049
DEG.twoside	Testis	8546	10	0.925875660899565	1	ENSG00000169885:ENSG00000138814:ENSG00000221823:ENSG00000156052:ENSG00000120910:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.twoside	Thyroid	4708	1	0.999796321272021	1	ENSG00000132356
DEG.twoside	Uterus	4787	4	0.962481051255988	1	ENSG00000107758:ENSG00000156052:ENSG00000132356:ENSG00000183049
DEG.twoside	Vagina	2611	0	1	1	
