Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Testis	5977	19	0.998581502249875	1	ENSG00000101405:ENSG00000166484:ENSG00000126767:ENSG00000196218:ENSG00000126583:ENSG00000007402:ENSG00000157445:ENSG00000151062:ENSG00000130433:ENSG00000096433:ENSG00000188386:ENSG00000072736:ENSG00000100968:ENSG00000111725:ENSG00000175206:ENSG00000140795:ENSG00000196465:ENSG00000165059:ENSG00000105851
DEG.up	Thyroid	3755	11	0.994153681020138	1	ENSG00000243708:ENSG00000182324:ENSG00000096433:ENSG00000101096:ENSG00000100968:ENSG00000111725:ENSG00000058404:ENSG00000164867:ENSG00000129467:ENSG00000174233:ENSG00000162104
DEG.up	Uterus	4026	17	0.884665683601169	1	ENSG00000116711:ENSG00000166484:ENSG00000198838:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000100968:ENSG00000131791:ENSG00000164867:ENSG00000152402:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233
DEG.up	Vagina	2026	18	0.0189312791420299	0.567938374260897	ENSG00000188089:ENSG00000116711:ENSG00000243708:ENSG00000159337:ENSG00000168907:ENSG00000166484:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000096433:ENSG00000178363:ENSG00000178372:ENSG00000100968:ENSG00000152402:ENSG00000159899:ENSG00000065534:ENSG00000129467:ENSG00000146648
DEG.down	Adipose_Tissue	1372	9	0.301914003584083	1	ENSG00000196218:ENSG00000198838:ENSG00000184185:ENSG00000007402:ENSG00000157445:ENSG00000178372:ENSG00000164742:ENSG00000078295:ENSG00000087258
DEG.down	Adrenal_Gland	3012	19	0.237043362542749	1	ENSG00000243708:ENSG00000103319:ENSG00000167535:ENSG00000157445:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000159200:ENSG00000058404:ENSG00000175206:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000121281:ENSG00000162104:ENSG00000087258
DEG.down	Bladder	104	3	0.0178381607034673	0.535144821104018	ENSG00000007402:ENSG00000157445:ENSG00000164742
DEG.down	Blood	5579	20	0.989238032531309	1	ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000177606:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000007402:ENSG00000096433:ENSG00000100968:ENSG00000159200:ENSG00000131791:ENSG00000175206:ENSG00000159899:ENSG00000196465:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000162104
DEG.down	Blood_Vessel	1497	12	0.0969215533674025	1	ENSG00000196218:ENSG00000142185:ENSG00000184185:ENSG00000182621:ENSG00000007402:ENSG00000157445:ENSG00000096433:ENSG00000178372:ENSG00000058404:ENSG00000164742:ENSG00000087258:ENSG00000120457
DEG.down	Brain	5004	28	0.403531712040728	1	ENSG00000116711:ENSG00000166484:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000111725:ENSG00000131791:ENSG00000164867:ENSG00000175206:ENSG00000065534:ENSG00000101306:ENSG00000140795:ENSG00000145949:ENSG00000058272:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000146648:ENSG00000124762
DEG.down	Breast	918	10	0.023377410683259	0.701322320497769	ENSG00000168907:ENSG00000196218:ENSG00000142185:ENSG00000184185:ENSG00000007402:ENSG00000157445:ENSG00000058404:ENSG00000078295:ENSG00000121281:ENSG00000087258
DEG.down	Cervix_Uteri	44	0	1	1	
DEG.down	Colon	1253	8	0.345055988865977	1	ENSG00000004468:ENSG00000142185:ENSG00000184185:ENSG00000007402:ENSG00000075461:ENSG00000178372:ENSG00000152402:ENSG00000121281
DEG.down	Esophagus	1479	11	0.158414727201701	1	ENSG00000081189:ENSG00000196218:ENSG00000004468:ENSG00000142185:ENSG00000137841:ENSG00000007402:ENSG00000075461:ENSG00000152402:ENSG00000078295:ENSG00000087258:ENSG00000141506
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	8324	31	0.997648369971023	1	ENSG00000102882:ENSG00000116711:ENSG00000243708:ENSG00000166484:ENSG00000081189:ENSG00000126767:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000116741:ENSG00000111725:ENSG00000131791:ENSG00000152402:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000058272:ENSG00000164742:ENSG00000138031:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000141506:ENSG00000146648
DEG.down	Kidney	4951	27	0.467706113092686	1	ENSG00000102882:ENSG00000166484:ENSG00000081189:ENSG00000126767:ENSG00000142185:ENSG00000184185:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000153956:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000131791:ENSG00000152402:ENSG00000175206:ENSG00000159899:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000141506:ENSG00000146648
DEG.down	Liver	7257	32	0.927537425023374	1	ENSG00000102882:ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000081189:ENSG00000004468:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000096433:ENSG00000178372:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000116741:ENSG00000111725:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000121281:ENSG00000162104:ENSG00000065135:ENSG00000087258:ENSG00000141506
DEG.down	Lung	825	4	0.641448814139344	1	ENSG00000196218:ENSG00000153956:ENSG00000178372:ENSG00000164742
DEG.down	Muscle	6154	29	0.811094634007376	1	ENSG00000102882:ENSG00000243708:ENSG00000166484:ENSG00000170345:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000167535:ENSG00000007402:ENSG00000096433:ENSG00000178372:ENSG00000101096:ENSG00000100968:ENSG00000116741:ENSG00000159200:ENSG00000111725:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000125503:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000065135:ENSG00000114353:ENSG00000146648
DEG.down	Nerve	788	8	0.0574273480373944	1	ENSG00000101405:ENSG00000184185:ENSG00000168135:ENSG00000007402:ENSG00000178372:ENSG00000164742:ENSG00000078295:ENSG00000087258
DEG.down	Ovary	1444	11	0.141258428767435	1	ENSG00000105499:ENSG00000198838:ENSG00000142185:ENSG00000123700:ENSG00000182621:ENSG00000137841:ENSG00000159200:ENSG00000164867:ENSG00000164742:ENSG00000087258:ENSG00000141506
DEG.down	Pancreas	8739	35	0.992442736182976	1	ENSG00000102882:ENSG00000116711:ENSG00000243708:ENSG00000105499:ENSG00000166484:ENSG00000126767:ENSG00000182621:ENSG00000137841:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000007402:ENSG00000096433:ENSG00000131196:ENSG00000101096:ENSG00000072736:ENSG00000100968:ENSG00000159200:ENSG00000111725:ENSG00000058404:ENSG00000164867:ENSG00000175206:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000058272:ENSG00000077157:ENSG00000164742:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000162104:ENSG00000065135:ENSG00000114353:ENSG00000146648
DEG.down	Pituitary	1762	18	0.0047878682958897	0.143636048876691	ENSG00000116711:ENSG00000196218:ENSG00000123700:ENSG00000184185:ENSG00000149782:ENSG00000126583:ENSG00000103319:ENSG00000142408:ENSG00000131196:ENSG00000072736:ENSG00000131791:ENSG00000152402:ENSG00000065534:ENSG00000077157:ENSG00000129467:ENSG00000121281:ENSG00000141506:ENSG00000146648
DEG.down	Prostate	700	7	0.07791996425274	1	ENSG00000196218:ENSG00000142185:ENSG00000178363:ENSG00000178372:ENSG00000058404:ENSG00000121281:ENSG00000162104
