"","Phylostratum","GeneID","Allen:4598","Allen:4596","Allen:4597","Allen:4573","Allen:4593","Allen:13005","Allen:4671","Allen:4675","Allen:4672","Allen:4679","Allen:4669","Allen:4667","Allen:4542","Allen:4644","Allen:4641","Allen:13008","Allen:10151","Allen:4648","Allen:4637"
"1",1,"ensg00000152402",6.49655991628252,7.07826732058157,7.72030995228002,6.18694405563884,5.4125400623796,7.2868371237955,7.47141577520378,7.21319653962441,7.63278732659747,7.28425390163112,7.61675948809006,7.16085652903469,6.83951563214226,6.27416176113775,6.90335862237343,7.45097416714604,6.73957818005142,7.1241464793413,6.39728385738291
"2",1,"ensg00000007402",5.95082325162647,6.24510760793802,5.68496195103372,5.75072264155632,4.91153228568487,5.71520594325403,6.37542547524152,5.78820366050154,5.91702078353648,6.01898841657015,6.02073313374301,6.07640157764827,6.14647280863206,5.8106107043542,6.2517648171047,6.19786210546011,5.70344356859767,5.97884363028446,5.80644028916717
"3",1,"ensg00000153956",7.5880328177176,7.29068342283684,8.92958303887417,8.50176589159191,7.86056119174733,8.38485887410513,8.12199277624745,8.13984380634897,7.74282946843727,8.05226790575116,9.10680751092822,8.05468222826866,7.87037598213513,7.50626188901629,7.51955849957281,7.80348119024749,7.64157960173076,8.0177930669431,8.67693015872032
"4",1,"ensg00000151062",2.11773177159342,3.11002518895421,3.5844005375271,2.9017245935723,3.14217627132234,3.15046710659963,3.14223340048141,2.62047738747503,2.38074491593798,2.40215954321426,2.56910952795764,1.89173379573579,2.32890875547993,2.15609063414445,2.60034772435642,3.11169911949732,3.04438616214318,2.7557259553296,2.69157695162407
"5",1,"ensg00000157445",6.79647900781847,5.86048853947786,6.43329319456179,5.61794131430865,3.73198513544805,6.51403387104527,4.09317453523634,6.61682541860813,4.08730112136261,6.75703530797166,6.44790353323761,6.66490961241129,6.32999090006048,6.94085015195424,6.48072162158194,6.66157774656255,6.94114681899313,6.55232699585968,6.8283328089082
"6",1,"ensg00000111725",3.91238344218102,4.21555556585913,4.44621005969131,3.7923868583409,3.33434757763037,4.06347293887831,5.35393168082722,2.81313920398317,4.5545067058918,3.30705017993737,3.10303083444589,3.19747870367399,3.7269917379085,3.86940763159536,3.81917580775148,4.01669470938913,3.19612905241137,3.27575214435165,3.5173976964082
"7",1,"ensg00000131791",6.03470320830288,6.33963347374886,6.77400738419801,6.15597923615383,5.97295877125382,6.14136611091484,6.31195610566706,5.96759962036534,6.26371996897092,5.91076246658406,5.99740796980249,6.02613994213285,6.12170030086176,6.51546153871904,6.01413002013698,6.25087909279331,5.6324857266471,5.84439988991006,6.21279744038935
"8",1,"ensg00000172531",7.44501032989501,7.6436538205913,8.12371947608619,7.95539151229579,8.01549623623511,7.70567644496462,8.41858222867869,7.99685504844432,7.90847084254429,7.65724735182532,7.85227492508773,7.88037279405055,7.81823366854009,8.07958456060121,7.552708786687,7.90076765321793,7.99654812336916,7.45565017641544,7.59346494175355
"9",1,"ensg00000092841",9.83326225515204,9.82252368328337,10.2948546142785,9.86218976978996,9.8119868727906,9.9812010521342,10.7405580919064,10.2668755777241,10.0208890007743,9.929269575452,10.037465609445,9.93365252857524,9.77982655528852,10.2873938085818,9.78890690769125,9.86515784407322,9.60486549284979,9.83613562843433,9.82714573250178
"10",1,"ensg00000101335",4.93128847602579,4.37487281723312,4.87841941213173,4.68303031742579,5.21586407122679,4.51802158522467,5.55525963147425,4.09687404924708,4.86194732966976,4.36932652297229,4.28737165238109,4.07829941945436,4.71423080308892,5.01649886628264,4.72796591918893,4.83477170977629,4.26758508277561,4.14804415009838,4.65776710897867
"11",1,"ensg00000143933",11.2046246293671,11.2229216445978,11.5700288556261,10.9153743908037,11.1503338230037,11.159335080492,11.4393351226837,11.1982567318277,11.0111592894769,11.0692411579792,11.2961094774149,11.108863040204,11.0311629150045,10.8319923771085,11.1078135255767,11.3901031386767,11.3810123198476,11.1876789012633,11.0495929571186
